,fine_label,fine_definition
0,federal budget,"The United States federal budget comprises the spending and revenues of the U.S. federal government. The budget is the financial representation of the priorities of the government, reflecting historical debates and competing economic philosophies. The government primarily spends on healthcare, retirement, and defense programs."
1,surveillance,"Surveillance is the monitoring of behavior, many activities, or information for the purpose of information gathering, influencing, managing or directing. This can include observation from a distance by means of electronic equipment, such as closed-circuit television (CCTV), or interception of electronically transmitted information like Internet traffic."
2,the affordable care act,"The Affordable Care Act (ACA), formally known as the Patient Protection and Affordable Care Act and colloquially known as Obamacare, is a landmark U.S. federal statute enacted by the 111th United States Congress and signed into law by President Barack Obama on March 23, 2010. Together with the Health Care and Education Reconciliation Act of 2010 amendment, it represents the U.S. healthcare system's most significant regulatory overhaul and expansion of coverage since the enactment of Medicare and Medicaid in 1965."
3,immigration,Immigration is the international movement of people to a destination country of which they are not natives or where they do not possess citizenship in order to settle as permanent residents or naturalized citizens.
4,law enforcement,"Law enforcement is the activity of some members of government who act in an organized manner to enforce the law by discovering, deterring, rehabilitating, or punishing people who violate the rules and norms governing that society."
5,gay rights,"Rights affecting lesbian, gay, bisexual, and transgender (LGBT) people vary greatly by country or jurisdiction—encompassing everything from the legal recognition of same-sex marriage to the death penalty for homosexuality"
6,gun control,"Gun control, or firearms regulation, is the set of laws or policies that regulate the manufacture, sale, transfer, possession, modification, or use of firearms by civilians."
7,military,"A military, also known collectively as armed forces, is a heavily armed, highly organized force primarily intended for warfare."
8,abortion,Abortion is the termination of a pregnancy by removal or expulsion of an embryo or fetus.
9,dance,"Dance is a performing art form consisting of sequences of movement, either improvised or purposefully selected. This movement has aesthetic and often symbolic value."
10,television,"Television, sometimes shortened to TV, is a telecommunication medium for transmitting moving images and sound."
11,music,"Music is generally defined as the art of arranging sound to create some combination of form, harmony, melody, rhythm or otherwise expressive content."
12,movies,"A film – also called a movie, motion picture, moving picture, picture or photoplay – is a work of visual art that simulates experiences and otherwise communicates ideas, stories, perceptions, feelings, beauty, or atmosphere through the use of moving images. These images are generally accompanied by sound and, more rarely, other sensory stimulations."
13,stocks and bonds,"In finance, stock (also capital stock) consists of all the shares by which ownership of a corporation or company is divided. (Especially in American English, the word ""stocks"" is also used to refer to shares.) A single share of the stock means fractional ownership of the corporation in proportion to the total number of shares. In finance, a bond is a type of security under which the issuer (debtor) owes the holder (creditor) a debt, and is obliged – depending on the terms – to repay the principal (i.e. amount borrowed) of the bond at the maturity date as well as interest (called the coupon) over a specified amount of time. The interest is usually payable at fixed intervals: semiannual, annual, and less often at other periods."
14,energy companies,"The energy industry is the totality of all of the industries involved in the production and sale of energy, including fuel extraction, manufacturing, refining and distribution. Modern society consumes large amounts of fuel, and the energy industry is a crucial part of the infrastructure and maintenance of society in almost all countries."
15,economy,"An economy is an area of the production, distribution and trade, as well as consumption of goods and services."
16,international business,"International business refers to the trade of goods, services, technology, capital and/or knowledge across national borders and at a global or transnational scale."
17,cosmos,The cosmos is another name for the Universe. Using the word cosmos implies viewing the universe as a complex and orderly system or entity.
18,environment,"The natural environment or natural world encompasses all living and non-living things occurring naturally, meaning in this case not artificial. The term is most often applied to the Earth or some parts of Earth."
19,hockey,"Ice hockey (or simply hockey) is a team sport played on ice skates, usually on an ice skating rink with lines and markings specific to the sport. It belongs to a family of sports called hockey."
20,basketball,"Basketball is a team sport in which two teams, most commonly of five players each, opposing one another on a rectangular court, compete with the primary objective of shooting a basketball (approximately 9.4 inches (24 cm) in diameter) through the defender's hoop (a basket 18 inches (46 cm) in diameter mounted 10 feet (3.048 m) high to a backboard at each end of the court, while preventing the opposing team from shooting through their own hoop. A field goal is worth two points, unless made from behind the three-point line, when it is worth three."
21,tennis,Tennis is a racket sport that is played either individually against a single opponent (singles) or between two teams of two players each (doubles). Each player uses a tennis racket that is strung with cord to strike a hollow rubber ball covered with felt over or around a net and into the opponent's court.
22,golf,Golf is a club-and-ball sport in which players use various clubs to hit balls into a series of holes on a course in as few strokes as possible.
23,football,"American football (referred to simply as football in the United States and Canada), also known as gridiron, is a team sport played by two teams of eleven players on a rectangular field with goalposts at each end. The offense, the team with possession of the oval-shaped football, attempts to advance down the field by running with the ball or passing it, while the defense, the team without possession of the ball, aims to stop the offense's advance and to take control of the ball for themselves."
24,baseball,"Baseball is a bat-and-ball sport played between two teams of nine players each, taking turns batting and fielding. The game is live when the umpire signals to the pitcher either verbally or by pointing, indicating that the ball is now in play."
25,soccer,"soccer, is a team sport played between two teams of 11 players who primarily use their feet to propel the ball around a rectangular field called a pitch."
